,Attr,Value,Matrix,Train,Fit,Model
0,Gender,0.58,0,1,perfect,RF
1,Air Pollution,0.31,0,1,perfect,RF
2,Alcohol use,0.385,0,1,perfect,RF
3,Dust Allergy,0.385,0,1,perfect,RF
4,OccuPational Hazards,0.34,0,1,perfect,RF
5,Genetic Risk,0.3,0,1,perfect,RF
6,chronic Lung Disease,0.285,0,1,perfect,RF
7,Balanced Diet,0.355,0,1,perfect,RF
8,Obesity,0.345,0,1,perfect,RF
9,Smoking,0.25,0,1,perfect,RF
10,Passive Smoker,0.27,0,1,perfect,RF
11,Chest Pain,0.315,0,1,perfect,RF
12,Coughing of Blood,0.36,0,1,perfect,RF
13,Fatigue,0.285,0,1,perfect,RF
14,Weight Loss,0.32,0,1,perfect,RF
15,Shortness of Breath,0.215,0,1,perfect,RF
16,Wheezing,0.375,0,1,perfect,RF
17,Swallowing Difficulty,0.175,0,1,perfect,RF
18,Clubbing of Finger Nails,0.27,0,1,perfect,RF
19,Frequent Cold,0.235,0,1,perfect,RF
20,Dry Cough,0.275,0,1,perfect,RF
21,Snoring,0.265,0,1,perfect,RF
22,Gender,0.58,1,1,perfect,RF
23,Air Pollution,0.31,1,1,perfect,RF
24,Alcohol use,0.21,1,1,perfect,RF
25,Dust Allergy,0.385,1,1,perfect,RF
26,OccuPational Hazards,0.34,1,1,perfect,RF
27,Genetic Risk,0.3,1,1,perfect,RF
28,chronic Lung Disease,0.285,1,1,perfect,RF
29,Balanced Diet,0.315,1,1,perfect,RF
30,Obesity,0.345,1,1,perfect,RF
31,Smoking,0.205,1,1,perfect,RF
32,Passive Smoker,0.24,1,1,perfect,RF
33,Chest Pain,0.315,1,1,perfect,RF
34,Coughing of Blood,0.195,1,1,perfect,RF
35,Fatigue,0.26,1,1,perfect,RF
36,Weight Loss,0.32,1,1,perfect,RF
37,Shortness of Breath,0.215,1,1,perfect,RF
38,Wheezing,0.27,1,1,perfect,RF
39,Swallowing Difficulty,0.175,1,1,perfect,RF
40,Clubbing of Finger Nails,0.26,1,1,perfect,RF
41,Frequent Cold,0.235,1,1,perfect,RF
42,Dry Cough,0.275,1,1,perfect,RF
43,Snoring,0.265,1,1,perfect,RF
44,Gender,0.625,0,0,perfect,RF
45,Air Pollution,0.365,0,0,perfect,RF
46,Alcohol use,0.425,0,0,perfect,RF
47,Dust Allergy,0.43,0,0,perfect,RF
48,OccuPational Hazards,0.4,0,0,perfect,RF
